word	nodeType	unit
surprising	ADJ	02x01_-_Follow_Mama_and_Papa
thick	ADJ	02x01_-_Follow_Mama_and_Papa
well	ADJ	02x01_-_Follow_Mama_and_Papa
high	ADJ	02x01_-_Follow_Mama_and_Papa
little	ADJ	02x01_-_Follow_Mama_and_Papa
tingly	ADJ	02x01_-_Follow_Mama_and_Papa
hungry	ADJ	02x01_-_Follow_Mama_and_Papa
good	ADJ	02x01_-_Follow_Mama_and_Papa
dangerous	ADJ	02x01_-_Follow_Mama_and_Papa
fine	ADJ	02x01_-_Follow_Mama_and_Papa
normal	ADJ	02x01_-_Follow_Mama_and_Papa
wrong	ADJ	02x01_-_Follow_Mama_and_Papa
extreme	ADJ	02x01_-_Follow_Mama_and_Papa
sorry	ADJ	02x01_-_Follow_Mama_and_Papa
able	ADJ	02x01_-_Follow_Mama_and_Papa
right	ADJ	02x01_-_Follow_Mama_and_Papa
extra	ADJ	02x01_-_Follow_Mama_and_Papa
lethal	ADJ	02x01_-_Follow_Mama_and_Papa
olive	ADJ	02x01_-_Follow_Mama_and_Papa
perfect	ADJ	02x01_-_Follow_Mama_and_Papa
little	ADJ	02x01_-_Follow_Mama_and_Papa
small	ADJ	02x01_-_Follow_Mama_and_Papa
actual	ADJ	02x01_-_Follow_Mama_and_Papa
last	ADJ	02x01_-_Follow_Mama_and_Papa
bad	ADJ	02x01_-_Follow_Mama_and_Papa
happy	ADJ	02x01_-_Follow_Mama_and_Papa
talented	ADJ	02x01_-_Follow_Mama_and_Papa
different	ADJ	02x01_-_Follow_Mama_and_Papa
normal	ADJ	02x01_-_Follow_Mama_and_Papa
hectic	ADJ	02x01_-_Follow_Mama_and_Papa
delicious	ADJ	02x01_-_Follow_Mama_and_Papa
well	ADJ	02x01_-_Follow_Mama_and_Papa
young	ADJ	02x01_-_Follow_Mama_and_Papa
young	ADJ	02x01_-_Follow_Mama_and_Papa
special	ADJ	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip
happy	ADJ	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip
final	ADJ	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip
busy	ADJ	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip
